Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,381603.21,26984.38,59000.00,48,0,31,0,34,0,14,0,1,0.23628748342749356,120
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,990922.89,79476.13,317000.00,302,0,408,0,274,0,144,0,12,0.8128297961661649,1308
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,9588994.27,608723.91,999750.00,1429,0,394,0,2442,0,391,0,43,0.7503067943614085,4212
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,46724.87,4707419.44,14099800.00,1257,285,0,600,0,1512,0,931,102,0.878638101938837,8304
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,4004923.78,1875077.17,13559400.00,1490,0,614,0,1692,0,762,0,95,0.871727940035386,7548
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,16262.90,4209388.60,14194900.00,1072,264,0,584,0,1404,0,851,98,0.8491090994456583,7548
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,47987.85,4419870.55,15316000.00,1126,300,0,660,0,1408,0,854,96,0.8513937189467811,7728
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,29444.60,4382101.79,16300200.00,1180,289,0,606,0,1511,0,833,95,0.8557439798688437,7800
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,33905.51,4280343.22,15551800.00,577,779,0,665,0,1394,0,716,95,0.8176145280249162,7128
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,17386867.00,0.00,0,2279,0,706,0,3255,0,435,3,1.9921215214710222,1476
